WORD, ABBREVIATION
IDENTIFIER, IDENT
ACTION, ACTN
NUMERIC, NUM
NUMBER, NUM
VALUE, VAL
TEXT, TXT
TYPE, TYP
CODE, CD
ADDRESS, ADDR
UNIT, UNT
DATE, DT
FACILITY, FAC
BOTTOM, BTM
LEFT, LFT
RIGHT, RGHT
DEPTH, DPTH
GEOLOGY, GEO
GEOGRAPHIC, GEO
LATITUDE, LAT
LONGITUDE, LONG
SOURCE, SRC
HORIZONTAL, HORZ
VERTICAL, VERT
MECHANICAL, MECH
INTEGRITY, INT
TEST, TST
NAME, NAM
AUTHORIZED, AUTH
AUTHORIZE, AUTH
PERMITTED, PERM
PERMIT, PERM
RESPONSE, RESP
RETURN, RET
SIGNIFICANT, SIG
CLASSIFICATION, CLASS
TOTAL, TOT
HIGH, HGH
CONTACT, CONT
WATER, WTR
COORDINATE, COORD
REFERENCE, REF
ANALYSIS, ANAL
SYSTEM, SYS
REASON, RSN
ACTIVITY, ACT
PRIORITY, PRI
REMEDIAL, REM
VOLUME, VOL
ENGINEERING, ENGR
ENGINEER, ENGR
INJECTION, INJ
INJECT, INJ
PERMEABILITY, PERM
PERMANENT, PERM
PERCENT, PER
STATUS, STA
OPERATION, OPER
OPERATING, OPER
INSPECTION, INSP
INSPECTING, INSP
MONITORING, MON
MONITOR, MON
COMPLIANCE, COMP
ZONE, ZN
RATE, RT
LOCATION, LOC
CONFINING, CONF
